白驼山,141,433
百花谷,160,271
北丑居,51,109
冰火岛,102,031
渤泥岛,274,034
成昆居,19,249
程瑛居,295,422
重阳宫,145,217
大轮寺,114,297
峨嵋派,215,408
福威镖局,369,258
光明顶,68,397
高升客栈,198,401
古墓,144,218
丐帮,229,256
海边小屋,286,157
河洛客栈,359,229
黑龙潭,309,351
黑木崖,118,178
衡山派,355,376
恒山派,112,215
洪七公居,169,210
胡斐居,86,094
蝴蝶谷,238,219
华山派,193,302
回族部落,120,343
金轮寺,103,397
绝情谷,133,270
崆峒派,160,314
昆仑山,42,420
昆仑仙境,22,440
擂鼓山,176,221
凌霄城,166,404
灵蛇岛,202,58
杨过山洞,68,170
霹雳堂,411,209
明教分舵,76,363
摩天崖,186,338
南贤居,388,325
苗人凤居,223,187
平一指,215,196
破庙,19,181
青城派,185,370
沙漠废墟,53,219
少林派,247,300
神龙教,130,100
思过崖,187,301
嵩山派,242,293
泰山派,193,139
桃花岛,341,138
天宁寺,330,237
田伯光居,385,307
铁掌山,302,343
万鳄岛,429,136
无量山,168,426
鸳鸯岛,422,029
武当派,226,340
五毒教,247,424
侠客岛,435,319
星宿海,132,410
薛慕华居,192,261
阎基居,396,374
燕子坞,300,193
一灯居,314,370
药王庄,323,318
梅庄,332,197
冰蚕秘洞,22,429
悦来客栈,221,286
云鹤崖,17,015
有间客栈,78,141
自宅,352,233
绝情谷底,131,254
蜘蛛洞,75,226
蝴蝶谷入口,226,220
唐诗山洞,365,279
闯王宝藏,64,52
龙门客栈,102,374
武道大会,192,295
金蛇山洞,193,293
无量山洞,172,425
